'Elapsed time','ECG I','ECG I filtered'
'0:09.852',-0.100,-0.030
'0:09.854',-0.100,-0.030
'0:09.856',-0.090,-0.030
'0:09.858',-0.080,-0.030
'0:09.860',-0.095,-0.030
'0:09.862',-0.105,-0.030
'0:09.864',-0.105,-0.030
'0:09.866',-0.125,-0.025
'0:09.868',-0.115,-0.025
'0:09.870',-0.110,-0.020
'0:09.872',-0.105,-0.020
'0:09.874',-0.100,-0.020
'0:09.876',-0.090,-0.025
'0:09.878',-0.095,-0.025
'0:09.880',-0.100,-0.030
'0:09.882',-0.115,-0.030
'0:09.884',-0.110,-0.030
'0:09.886',-0.105,-0.030
'0:09.888',-0.080,-0.025
'0:09.890',-0.075,-0.015
'0:09.892',-0.055,-0.005
'0:09.894',-0.045,0.005
'0:09.896',-0.025,0.020
'0:09.898',0.000,0.030
'0:09.900',0.000,0.045
'0:09.902',-0.005,0.055
'0:09.904',-0.025,0.065
'0:09.906',-0.010,0.070
'0:09.908',-0.015,0.080
'0:09.910',-0.025,0.085
'0:09.912',0.005,0.085
'0:09.914',0.015,0.090
'0:09.916',0.020,0.090
'0:09.918',0.035,0.090
'0:09.920',0.035,0.085
'0:09.922',0.015,0.085
'0:09.924',0.005,0.080
'0:09.926',-0.010,0.080
'0:09.928',-0.010,0.075
'0:09.930',0.015,0.075
'0:09.932',0.030,0.080
'0:09.934',0.035,0.080
'0:09.936',0.035,0.080
'0:09.938',0.040,0.080
'0:09.940',0.020,0.085
'0:09.942',0.010,0.080
'0:09.944',0.005,0.080
'0:09.946',0.005,0.080
'0:09.948',0.010,0.075
'0:09.950',0.010,0.075
'0:09.952',0.025,0.075
'0:09.954',0.030,0.075
'0:09.956',0.045,0.080
'0:09.958',0.055,0.080
'0:09.960',0.050,0.085
'0:09.962',0.030,0.090
'0:09.964',0.010,0.095
'0:09.966',0.010,0.100
'0:09.968',0.005,0.105
'0:09.970',0.005,0.105
'0:09.972',0.025,0.110
'0:09.974',0.040,0.105
'0:09.976',0.050,0.105
'0:09.978',0.035,0.100
'0:09.980',0.025,0.100
'0:09.982',0.020,0.095
'0:09.984',0.010,0.095
'0:09.986',0.015,0.095
'0:09.988',0.015,0.095
'0:09.990',0.015,0.095
'0:09.992',0.030,0.095
'0:09.994',0.020,0.095
'0:09.996',0.035,0.095
'0:09.998',0.040,0.095
'0:10.000',0.025,0.095
'0:10.002',0.020,0.095
'0:10.004',0.020,0.095
'0:10.006',0.000,0.090
'0:10.008',0.005,0.090
'0:10.010',0.005,0.090
'0:10.012',0.030,0.090
'0:10.014',0.030,0.090
'0:10.016',0.030,0.090
'0:10.018',0.035,0.085
'0:10.020',0.015,0.085
'0:10.022',-0.010,0.080
'0:10.024',-0.015,0.075
'0:10.026',-0.005,0.070
'0:10.028',-0.005,0.070
'0:10.030',0.010,0.070
'0:10.032',0.015,0.070
'0:10.034',0.035,0.070
'0:10.036',0.035,0.075
'0:10.038',0.040,0.080
'0:10.040',0.025,0.085
'0:10.042',0.015,0.090
'0:10.044',0.010,0.090
'0:10.046',0.010,0.090
'0:10.048',0.020,0.090
'0:10.050',0.030,0.090
'0:10.052',0.040,0.090
'0:10.054',0.045,0.085
'0:10.056',0.055,0.090
'0:10.058',0.050,0.090
'0:10.060',0.045,0.090
'0:10.062',0.030,0.095
'0:10.064',0.020,0.100
'0:10.066',0.025,0.100
'0:10.068',0.040,0.105
'0:10.070',0.050,0.105
'0:10.072',0.075,0.110
'0:10.074',0.090,0.110
'0:10.076',0.100,0.115
'0:10.078',0.095,0.120
'0:10.080',0.080,0.125
'0:10.082',0.075,0.130
'0:10.084',0.045,0.135
'0:10.086',0.040,0.135
'0:10.088',0.040,0.140
'0:10.090',0.055,0.140
'0:10.092',0.070,0.135
'0:10.094',0.070,0.135
'0:10.096',0.080,0.130
'0:10.098',0.075,0.125
'0:10.100',0.050,0.125
'0:10.102',0.025,0.120
'0:10.104',0.010,0.115
'0:10.106',-0.005,0.110
'0:10.108',0.000,0.105
'0:10.110',0.005,0.095
'0:10.112',0.000,0.090
'0:10.114',0.005,0.080
'0:10.116',0.010,0.070
'0:10.118',0.010,0.060
'0:10.120',-0.020,0.050
'0:10.122',-0.030,0.045
'0:10.124',-0.040,0.040
'0:10.126',-0.050,0.040
'0:10.128',-0.050,0.035
'0:10.130',-0.040,0.035
'0:10.132',-0.050,0.030
'0:10.134',-0.035,0.025
'0:10.136',-0.035,0.025
'0:10.138',-0.040,0.020
'0:10.140',-0.045,0.015
'0:10.142',-0.050,0.010
'0:10.144',-0.060,0.005
'0:10.146',-0.075,0.005
'0:10.148',-0.075,0.005
'0:10.150',-0.075,0.000
'0:10.152',-0.065,0.000
'0:10.154',-0.060,-0.005
'0:10.156',-0.050,-0.005
'0:10.158',-0.060,-0.005
'0:10.160',-0.065,-0.010
'0:10.162',-0.085,-0.010
'0:10.164',-0.085,-0.015
'0:10.166',-0.095,-0.015
'0:10.168',-0.090,-0.015
'0:10.170',-0.070,-0.015
'0:10.172',-0.075,-0.015
'0:10.174',-0.075,-0.015
'0:10.176',-0.070,-0.015
'0:10.178',-0.060,-0.015
'0:10.180',-0.070,-0.010
'0:10.182',-0.075,-0.010
'0:10.184',-0.090,-0.010
'0:10.186',-0.100,-0.005
'0:10.188',-0.085,-0.005
'0:10.190',-0.080,-0.005
'0:10.192',-0.085,-0.010
'0:10.194',-0.075,-0.015
'0:10.196',-0.075,-0.025
'0:10.198',-0.095,-0.035
'0:10.200',-0.120,-0.045
'0:10.202',-0.125,-0.055
'0:10.204',-0.145,-0.065
'0:10.206',-0.170,-0.070
'0:10.208',-0.155,-0.070
'0:10.210',-0.145,-0.065
'0:10.212',-0.115,-0.050
'0:10.214',-0.070,-0.025
'0:10.216',-0.005,0.010
'0:10.218',0.060,0.060
'0:10.220',0.080,0.125
'0:10.222',0.135,0.200
'0:10.224',0.215,0.290
'0:10.226',0.285,0.385
'0:10.228',0.410,0.480
'0:10.230',0.550,0.565
'0:10.232',0.650,0.630
'0:10.234',0.685,0.675
'0:10.236',0.675,0.690
'0:10.238',0.615,0.670
'0:10.240',0.535,0.620
'0:10.242',0.440,0.535
'0:10.244',0.330,0.430
'0:10.246',0.230,0.310
'0:10.248',0.105,0.190
'0:10.250',-0.010,0.080
'0:10.252',-0.130,-0.020
'0:10.254',-0.205,-0.090
'0:10.256',-0.225,-0.140
'0:10.258',-0.210,-0.160
'0:10.260',-0.195,-0.165
'0:10.262',-0.190,-0.150
'0:10.264',-0.165,-0.125
'0:10.266',-0.150,-0.100
'0:10.268',-0.120,-0.075
'0:10.270',-0.095,-0.055
'0:10.272',-0.080,-0.045
'0:10.274',-0.080,-0.040
'0:10.276',-0.075,-0.040
'0:10.278',-0.075,-0.040
'0:10.280',-0.105,-0.045
'0:10.282',-0.110,-0.045
'0:10.284',-0.115,-0.045
'0:10.286',-0.120,-0.040
'0:10.288',-0.100,-0.040
'0:10.290',-0.085,-0.035
'0:10.292',-0.085,-0.035
'0:10.294',-0.080,-0.030
'0:10.296',-0.085,-0.030
'0:10.298',-0.100,-0.035
'0:10.300',-0.105,-0.035
'0:10.302',-0.115,-0.035
'0:10.304',-0.115,-0.035
'0:10.306',-0.115,-0.030
'0:10.308',-0.105,-0.030
'0:10.310',-0.100,-0.025
'0:10.312',-0.095,-0.025
'0:10.314',-0.085,-0.020
'0:10.316',-0.075,-0.020
'0:10.318',-0.085,-0.020
'0:10.320',-0.100,-0.020
'0:10.322',-0.090,-0.025
'0:10.324',-0.105,-0.025
'0:10.326',-0.100,-0.030
'0:10.328',-0.090,-0.030
'0:10.330',-0.075,-0.030
'0:10.332',-0.065,-0.030
'0:10.334',-0.060,-0.030
'0:10.336',-0.065,-0.030
'0:10.338',-0.075,-0.030
'0:10.340',-0.090,-0.030
'0:10.342',-0.095,-0.030
'0:10.344',-0.095,-0.030
'0:10.346',-0.095,-0.025
'0:10.348',-0.080,-0.025
'0:10.350',-0.075,-0.025
'0:10.352',-0.075,-0.020
'0:10.354',-0.055,-0.020
'0:10.356',-0.055,-0.015
'0:10.358',-0.065,-0.015
'0:10.360',-0.075,-0.015
'0:10.362',-0.080,-0.015
'0:10.364',-0.085,-0.015
'0:10.366',-0.085,-0.010
'0:10.368',-0.055,-0.010
'0:10.370',-0.040,-0.010
'0:10.372',-0.050,-0.010
'0:10.374',-0.055,-0.010
'0:10.376',-0.050,-0.010
'0:10.378',-0.055,-0.005
'0:10.380',-0.065,0.000
'0:10.382',-0.065,0.000
'0:10.384',-0.060,0.005
'0:10.386',-0.060,0.010
'0:10.388',-0.035,0.015
'0:10.390',-0.025,0.020
'0:10.392',-0.030,0.020
'0:10.394',-0.035,0.020
'0:10.396',-0.040,0.020
'0:10.398',-0.035,0.020
'0:10.400',-0.025,0.020
'0:10.402',-0.035,0.015
'0:10.404',-0.040,0.015
'0:10.406',-0.030,0.020
'0:10.408',-0.025,0.025
'0:10.410',-0.005,0.030
'0:10.412',0.005,0.040
'0:10.414',0.025,0.050
'0:10.416',0.030,0.060
'0:10.418',0.010,0.070
'0:10.420',0.010,0.075
'0:10.422',0.010,0.080
'0:10.424',0.015,0.085
'0:10.426',0.020,0.085
'0:10.428',0.045,0.085
'0:10.430',0.060,0.090
'0:10.432',0.065,0.090
'0:10.434',0.080,0.095
'0:10.436',0.080,0.100
'0:10.438',0.080,0.110
'0:10.440',0.060,0.120
'0:10.442',0.070,0.130
'0:10.444',0.080,0.140
'0:10.446',0.085,0.145
'0:10.448',0.090,0.155
'0:10.450',0.110,0.155
'0:10.452',0.120,0.160
'0:10.454',0.120,0.160
'0:10.456',0.120,0.165
'0:10.458',0.115,0.165
'0:10.460',0.110,0.165
'0:10.462',0.105,0.165
'0:10.464',0.085,0.165
'0:10.466',0.085,0.160
'0:10.468',0.090,0.160
'0:10.470',0.095,0.155
'0:10.472',0.110,0.145
'0:10.474',0.100,0.140
'0:10.476',0.100,0.135
'0:10.478',0.075,0.125
'0:10.480',0.055,0.125
'0:10.482',0.035,0.120
'0:10.484',0.030,0.115
'0:10.486',0.030,0.110
'0:10.488',0.025,0.105
'0:10.490',0.030,0.095
'0:10.492',0.040,0.090
'0:10.494',0.025,0.075
'0:10.496',0.015,0.065
'0:10.498',-0.020,0.055
'0:10.500',-0.025,0.045
'0:10.502',-0.050,0.035
'0:10.504',-0.065,0.030
'0:10.506',-0.065,0.025
'0:10.508',-0.050,0.020
'0:10.510',-0.040,0.020
'0:10.512',-0.040,0.015
'0:10.514',-0.045,0.010
'0:10.516',-0.065,0.000
'0:10.518',-0.090,-0.010
'0:10.520',-0.120,-0.020
'0:10.522',-0.110,-0.035
'0:10.524',-0.130,-0.045
'0:10.526',-0.135,-0.060
'0:10.528',-0.140,-0.065
'0:10.530',-0.140,-0.075
'0:10.532',-0.130,-0.080
'0:10.534',-0.110,-0.080
'0:10.536',-0.125,-0.080
'0:10.538',-0.140,-0.085
'0:10.540',-0.150,-0.085
'0:10.542',-0.150,-0.085
'0:10.544',-0.165,-0.085
'0:10.546',-0.150,-0.090
'0:10.548',-0.145,-0.090
'0:10.550',-0.145,-0.095
'0:10.552',-0.135,-0.100
'0:10.554',-0.125,-0.100
'0:10.556',-0.140,-0.105
'0:10.558',-0.155,-0.110
'0:10.560',-0.160,-0.110
'0:10.562',-0.170,-0.110
'0:10.564',-0.160,-0.105
'0:10.566',-0.165,-0.100
'0:10.568',-0.155,-0.095
'0:10.570',-0.145,-0.095
'0:10.572',-0.150,-0.090
'0:10.574',-0.120,-0.085
'0:10.576',-0.135,-0.080
'0:10.578',-0.130,-0.075
'0:10.580',-0.145,-0.075
'0:10.582',-0.160,-0.075
'0:10.584',-0.170,-0.070
'0:10.586',-0.155,-0.070
'0:10.588',-0.145,-0.070
'0:10.590',-0.135,-0.070
'0:10.592',-0.130,-0.075
'0:10.594',-0.115,-0.075
'0:10.596',-0.135,-0.080
'0:10.598',-0.150,-0.085
'0:10.600',-0.155,-0.085
'0:10.602',-0.160,-0.090
'0:10.604',-0.165,-0.095
'0:10.606',-0.145,-0.095
'0:10.608',-0.125,-0.095
'0:10.610',-0.115,-0.095
'0:10.612',-0.105,-0.090
'0:10.614',-0.100,-0.085
'0:10.616',-0.110,-0.085
'0:10.618',-0.125,-0.080
'0:10.620',-0.135,-0.080
'0:10.622',-0.165,-0.075
'0:10.624',-0.165,-0.075
'0:10.626',-0.150,-0.075
'0:10.628',-0.140,-0.080
'0:10.630',-0.145,-0.080
'0:10.632',-0.140,-0.080
'0:10.634',-0.135,-0.085
'0:10.636',-0.125,-0.085
'0:10.638',-0.145,-0.090
'0:10.640',-0.155,-0.090
'0:10.642',-0.150,-0.090
'0:10.644',-0.150,-0.090
'0:10.646',-0.140,-0.090
'0:10.648',-0.130,-0.085
'0:10.650',-0.125,-0.085
'0:10.652',-0.120,-0.080
'0:10.654',-0.115,-0.080
'0:10.656',-0.140,-0.075
'0:10.658',-0.135,-0.075
'0:10.660',-0.130,-0.075
'0:10.662',-0.155,-0.075
'0:10.664',-0.160,-0.075
'0:10.666',-0.155,-0.080
'0:10.668',-0.150,-0.080
'0:10.670',-0.145,-0.085
'0:10.672',-0.140,-0.090
'0:10.674',-0.130,-0.095
'0:10.676',-0.145,-0.095
'0:10.678',-0.145,-0.100
'0:10.680',-0.155,-0.100
'0:10.682',-0.160,-0.095
'0:10.684',-0.160,-0.095
'0:10.686',-0.150,-0.095
'0:10.688',-0.135,-0.090
'0:10.690',-0.130,-0.090
'0:10.692',-0.135,-0.095
'0:10.694',-0.145,-0.095
'0:10.696',-0.160,-0.100
'0:10.698',-0.165,-0.100
'0:10.700',-0.160,-0.105
'0:10.702',-0.170,-0.110
'0:10.704',-0.170,-0.110
'0:10.706',-0.155,-0.110
'0:10.708',-0.140,-0.110
'0:10.710',-0.130,-0.105
'0:10.712',-0.140,-0.100
'0:10.714',-0.150,-0.100
'0:10.716',-0.155,-0.095
'0:10.718',-0.160,-0.095
'0:10.720',-0.165,-0.090
'0:10.722',-0.180,-0.090
'0:10.724',-0.185,-0.090
'0:10.726',-0.165,-0.090
'0:10.728',-0.160,-0.095
'0:10.730',-0.155,-0.095
'0:10.732',-0.140,-0.095
'0:10.734',-0.145,-0.095
'0:10.736',-0.155,-0.095
'0:10.738',-0.170,-0.090
'0:10.740',-0.165,-0.090
'0:10.742',-0.180,-0.090
'0:10.744',-0.160,-0.090
'0:10.746',-0.155,-0.090
'0:10.748',-0.140,-0.095
'0:10.750',-0.145,-0.100
'0:10.752',-0.135,-0.105
'0:10.754',-0.160,-0.110
'0:10.756',-0.170,-0.115
'0:10.758',-0.190,-0.115
'0:10.760',-0.215,-0.115
'0:10.762',-0.210,-0.110
'0:10.764',-0.200,-0.110
'0:10.766',-0.170,-0.105
'0:10.768',-0.150,-0.100
'0:10.770',-0.140,-0.100
'0:10.772',-0.150,-0.100
'0:10.774',-0.155,-0.105
'0:10.776',-0.155,-0.105
'0:10.778',-0.180,-0.110
'0:10.780',-0.185,-0.115
'0:10.782',-0.190,-0.115
'0:10.784',-0.190,-0.120
'0:10.786',-0.175,-0.120
'0:10.788',-0.155,-0.120
'0:10.790',-0.150,-0.115
'0:10.792',-0.145,-0.115
'0:10.794',-0.150,-0.115
'0:10.796',-0.160,-0.115
'0:10.798',-0.165,-0.115
'0:10.800',-0.170,-0.115
'0:10.802',-0.160,-0.110
'0:10.804',-0.160,-0.110
'0:10.806',-0.150,-0.110
'0:10.808',-0.145,-0.105
'0:10.810',-0.135,-0.100
'0:10.812',-0.125,-0.095
'0:10.814',-0.140,-0.090
'0:10.816',-0.145,-0.085
'0:10.818',-0.150,-0.080
'0:10.820',-0.160,-0.075
'0:10.822',-0.170,-0.070
'0:10.824',-0.150,-0.065
'0:10.826',-0.135,-0.065
'0:10.828',-0.105,-0.060
'0:10.830',-0.100,-0.060
'0:10.832',-0.095,-0.060
'0:10.834',-0.090,-0.060
'0:10.836',-0.105,-0.060
'0:10.838',-0.125,-0.060
'0:10.840',-0.125,-0.060
'0:10.842',-0.125,-0.055
'0:10.844',-0.105,-0.050
'0:10.846',-0.090,-0.045
'0:10.848',-0.085,-0.045
'0:10.850',-0.110,-0.040
'0:10.852',-0.100,-0.040
'0:10.854',-0.115,-0.040
'0:10.856',-0.120,-0.045
'0:10.858',-0.135,-0.050
'0:10.860',-0.145,-0.060
'0:10.862',-0.155,-0.065
'0:10.864',-0.140,-0.070
'0:10.866',-0.140,-0.080
'0:10.868',-0.145,-0.085
'0:10.870',-0.155,-0.090
'0:10.872',-0.160,-0.095
'0:10.874',-0.175,-0.100
'0:10.876',-0.170,-0.105
'0:10.878',-0.180,-0.110
'0:10.880',-0.175,-0.110
'0:10.882',-0.175,-0.110
'0:10.884',-0.170,-0.110
'0:10.886',-0.170,-0.105
'0:10.888',-0.150,-0.100
'0:10.890',-0.155,-0.095
'0:10.892',-0.155,-0.090
'0:10.894',-0.160,-0.090
'0:10.896',-0.175,-0.085
'0:10.898',-0.180,-0.085
'0:10.900',-0.195,-0.090
'0:10.902',-0.195,-0.090
'0:10.904',-0.185,-0.095
'0:10.906',-0.180,-0.100
'0:10.908',-0.175,-0.105
'0:10.910',-0.165,-0.110
'0:10.912',-0.180,-0.110
'0:10.914',-0.195,-0.115
'0:10.916',-0.205,-0.115
'0:10.918',-0.200,-0.115
'0:10.920',-0.195,-0.120
'0:10.922',-0.205,-0.120
'0:10.924',-0.180,-0.125
'0:10.926',-0.170,-0.125
'0:10.928',-0.170,-0.130
'0:10.930',-0.165,-0.130
'0:10.932',-0.155,-0.130
'0:10.934',-0.180,-0.125
'0:10.936',-0.190,-0.125
'0:10.938',-0.210,-0.120
'0:10.940',-0.210,-0.120
'0:10.942',-0.210,-0.120
'0:10.944',-0.215,-0.120
'0:10.946',-0.185,-0.120
'0:10.948',-0.185,-0.120
'0:10.950',-0.170,-0.120
'0:10.952',-0.160,-0.120
'0:10.954',-0.160,-0.125
'0:10.956',-0.200,-0.125
'0:10.958',-0.235,-0.130
'0:10.960',-0.230,-0.135
'0:10.962',-0.245,-0.140
'0:10.964',-0.240,-0.150
'0:10.966',-0.245,-0.155
'0:10.968',-0.235,-0.160
'0:10.970',-0.205,-0.155
'0:10.972',-0.175,-0.145
'0:10.974',-0.160,-0.115
'0:10.976',-0.090,-0.065
'0:10.978',-0.030,0.000
'0:10.980',0.005,0.080
'0:10.982',0.080,0.175
'0:10.984',0.195,0.270
'0:10.986',0.305,0.365
'0:10.988',0.435,0.445
'0:10.990',0.515,0.505
'0:10.992',0.520,0.540
'0:10.994',0.505,0.550
'0:10.996',0.440,0.525
'0:10.998',0.385,0.475
'0:11.000',0.310,0.400
'0:11.002',0.215,0.310
'0:11.004',0.125,0.205
'0:11.006',0.035,0.105
'0:11.008',-0.085,0.005
'0:11.010',-0.180,-0.080
'0:11.012',-0.255,-0.150
'0:11.014',-0.300,-0.200
'0:11.016',-0.285,-0.225
'0:11.018',-0.285,-0.235
'0:11.020',-0.280,-0.230
'0:11.022',-0.265,-0.210
'0:11.024',-0.225,-0.185
'0:11.026',-0.200,-0.160
'0:11.028',-0.165,-0.140
'0:11.030',-0.150,-0.120
'0:11.032',-0.155,-0.110
'0:11.034',-0.155,-0.105
'0:11.036',-0.170,-0.100
'0:11.038',-0.185,-0.100
'0:11.040',-0.195,-0.100
'0:11.042',-0.175,-0.100
'0:11.044',-0.155,-0.100
'0:11.046',-0.155,-0.095
'0:11.048',-0.150,-0.095
'0:11.050',-0.155,-0.090
'0:11.052',-0.155,-0.085
'0:11.054',-0.170,-0.080
'0:11.056',-0.150,-0.075
'0:11.058',-0.145,-0.075
'0:11.060',-0.155,-0.075
'0:11.062',-0.155,-0.075
'0:11.064',-0.150,-0.075
'0:11.066',-0.140,-0.075
'0:11.068',-0.125,-0.075
'0:11.070',-0.105,-0.075
'0:11.072',-0.130,-0.075
'0:11.074',-0.150,-0.075
'0:11.076',-0.135,-0.075
'0:11.078',-0.150,-0.070
'0:11.080',-0.160,-0.070
'0:11.082',-0.150,-0.070
'0:11.084',-0.145,-0.075
'0:11.086',-0.125,-0.075
'0:11.088',-0.115,-0.075
'0:11.090',-0.105,-0.075
'0:11.092',-0.110,-0.070
'0:11.094',-0.110,-0.070
'0:11.096',-0.120,-0.065
'0:11.098',-0.135,-0.060
'0:11.100',-0.125,-0.055
'0:11.102',-0.115,-0.050
'0:11.104',-0.105,-0.045
'0:11.106',-0.110,-0.045
'0:11.108',-0.115,-0.045
'0:11.110',-0.110,-0.045
'0:11.112',-0.115,-0.045
'0:11.114',-0.130,-0.050
'0:11.116',-0.120,-0.050
'0:11.118',-0.120,-0.050
'0:11.120',-0.140,-0.045
'0:11.122',-0.140,-0.045
'0:11.124',-0.120,-0.040
'0:11.126',-0.105,-0.040
'0:11.128',-0.085,-0.035
'0:11.130',-0.085,-0.035
'0:11.132',-0.080,-0.035
'0:11.134',-0.085,-0.035
'0:11.136',-0.090,-0.035
'0:11.138',-0.100,-0.030
'0:11.140',-0.090,-0.025
'0:11.142',-0.095,-0.020
'0:11.144',-0.080,-0.015
'0:11.146',-0.065,-0.005
'0:11.148',-0.060,0.005
'0:11.150',-0.035,0.010
'0:11.152',-0.045,0.015
'0:11.154',-0.060,0.020
'0:11.156',-0.055,0.025
'0:11.158',-0.050,0.025
'0:11.160',-0.050,0.025
'0:11.162',-0.040,0.025
'0:11.164',-0.030,0.025
'0:11.166',-0.020,0.030
'0:11.168',-0.010,0.035
'0:11.170',0.005,0.040
'0:11.172',0.010,0.045
'0:11.174',-0.020,0.050
'0:11.176',-0.025,0.055
'0:11.178',-0.015,0.055
'0:11.180',-0.005,0.060
'0:11.182',0.010,0.060
'0:11.184',0.030,0.065
'0:11.186',0.045,0.070
'0:11.188',0.050,0.080
'0:11.190',0.055,0.090
'0:11.192',0.060,0.100
'0:11.194',0.055,0.110
'0:11.196',0.055,0.120
'0:11.198',0.055,0.130
'0:11.200',0.055,0.135
'0:11.202',0.070,0.140
'0:11.204',0.085,0.145
'0:11.206',0.095,0.145
'0:11.208',0.100,0.150
'0:11.210',0.115,0.155
'0:11.212',0.110,0.155
'0:11.214',0.095,0.160
'0:11.216',0.095,0.160
'0:11.218',0.075,0.165
'0:11.220',0.065,0.165
'0:11.222',0.075,0.165
'0:11.224',0.120,0.160
'0:11.226',0.085,0.160
'0:11.228',0.095,0.160
'0:11.230',0.110,0.160
'0:11.232',0.095,0.160
'0:11.234',0.075,0.160
'0:11.236',0.055,0.155
'0:11.238',0.040,0.150
'0:11.240',0.035,0.145
'0:11.242',0.020,0.135
'0:11.244',0.035,0.125
'0:11.246',0.035,0.110
'0:11.248',0.025,0.095
'0:11.250',0.035,0.080
'0:11.252',0.000,0.070
'0:11.254',-0.030,0.060
'0:11.256',-0.030,0.055
'0:11.258',-0.035,0.050
'0:11.260',-0.050,0.045
'0:11.262',-0.070,0.035
'0:11.264',-0.070,0.030
'0:11.266',-0.070,0.020
'0:11.268',-0.060,0.010
'0:11.270',-0.075,-0.005
'0:11.272',-0.100,-0.015
'0:11.274',-0.110,-0.025
'0:11.276',-0.125,-0.035
'0:11.278',-0.145,-0.045
'0:11.280',-0.155,-0.050
'0:11.282',-0.155,-0.055
'0:11.284',-0.135,-0.060
'0:11.286',-0.135,-0.070
'0:11.288',-0.130,-0.075
'0:11.290',-0.115,-0.080
'0:11.292',-0.145,-0.085
'0:11.294',-0.145,-0.085
'0:11.296',-0.145,-0.085
'0:11.298',-0.165,-0.085
'0:11.300',-0.160,-0.085
'0:11.302',-0.150,-0.085
'0:11.304',-0.155,-0.080
'0:11.306',-0.140,-0.085
'0:11.308',-0.150,-0.085
'0:11.310',-0.150,-0.095
'0:11.312',-0.175,-0.100
'0:11.314',-0.170,-0.110
'0:11.316',-0.170,-0.115
'0:11.318',-0.170,-0.120
'0:11.320',-0.165,-0.120
'0:11.322',-0.165,-0.120
'0:11.324',-0.155,-0.115
'0:11.326',-0.155,-0.110
'0:11.328',-0.145,-0.100
'0:11.330',-0.145,-0.095
'0:11.332',-0.170,-0.085
'0:11.334',-0.160,-0.080
'0:11.336',-0.165,-0.075
'0:11.338',-0.165,-0.070
'0:11.340',-0.155,-0.070
'0:11.342',-0.150,-0.070
'0:11.344',-0.150,-0.075
'0:11.346',-0.135,-0.075
'0:11.348',-0.135,-0.080
'0:11.350',-0.135,-0.080
'0:11.352',-0.155,-0.080
'0:11.354',-0.170,-0.085
'0:11.356',-0.170,-0.085
'0:11.358',-0.155,-0.080
'0:11.360',-0.150,-0.080
'0:11.362',-0.150,-0.080
'0:11.364',-0.145,-0.075
'0:11.366',-0.140,-0.075
'0:11.368',-0.135,-0.070
'0:11.370',-0.150,-0.070
'0:11.372',-0.155,-0.070
'0:11.374',-0.165,-0.075
'0:11.376',-0.160,-0.075
'0:11.378',-0.165,-0.080
'0:11.380',-0.155,-0.085
'0:11.382',-0.150,-0.085
'0:11.384',-0.140,-0.090
'0:11.386',-0.130,-0.090
'0:11.388',-0.120,-0.090
'0:11.390',-0.135,-0.090
'0:11.392',-0.150,-0.085
'0:11.394',-0.155,-0.085
'0:11.396',-0.160,-0.085
'0:11.398',-0.160,-0.085
'0:11.400',-0.145,-0.085
'0:11.402',-0.145,-0.085
'0:11.404',-0.135,-0.085
'0:11.406',-0.135,-0.085
'0:11.408',-0.120,-0.080
'0:11.410',-0.135,-0.075
'0:11.412',-0.145,-0.070
'0:11.414',-0.140,-0.065
'0:11.416',-0.145,-0.060
'0:11.418',-0.160,-0.060
'0:11.420',-0.150,-0.055
'0:11.422',-0.145,-0.055
'0:11.424',-0.135,-0.060
'0:11.426',-0.135,-0.065
'0:11.428',-0.125,-0.065
'0:11.430',-0.140,-0.070
'0:11.432',-0.155,-0.075
'0:11.434',-0.150,-0.075
'0:11.436',-0.155,-0.075
'0:11.438',-0.165,-0.070
'0:11.440',-0.150,-0.070
'0:11.442',-0.150,-0.070
'0:11.444',-0.140,-0.070
'0:11.446',-0.140,-0.075
'0:11.448',-0.135,-0.075
'0:11.450',-0.140,-0.080
'0:11.452',-0.155,-0.085
'0:11.454',-0.165,-0.090
'0:11.456',-0.160,-0.090
'0:11.458',-0.180,-0.090
'0:11.460',-0.170,-0.085
'0:11.462',-0.160,-0.080
'0:11.464',-0.165,-0.075
'0:11.466',-0.130,-0.070
'0:11.468',-0.140,-0.070
'0:11.470',-0.145,-0.065
'0:11.472',-0.155,-0.070
'0:11.474',-0.155,-0.070
'0:11.476',-0.165,-0.075
'0:11.478',-0.170,-0.075
'0:11.480',-0.155,-0.075
'0:11.482',-0.145,-0.075
'0:11.484',-0.130,-0.075
'0:11.486',-0.130,-0.075
'0:11.488',-0.125,-0.070
'0:11.490',-0.145,-0.070
'0:11.492',-0.145,-0.070
'0:11.494',-0.140,-0.070
'0:11.496',-0.155,-0.070
'0:11.498',-0.160,-0.070
'0:11.500',-0.155,-0.070
'0:11.502',-0.155,-0.070
'0:11.504',-0.155,-0.070
'0:11.506',-0.135,-0.065
'0:11.508',-0.130,-0.065
'0:11.510',-0.145,-0.065
'0:11.512',-0.160,-0.065
'0:11.514',-0.165,-0.065
'0:11.516',-0.185,-0.070
'0:11.518',-0.185,-0.075
'0:11.520',-0.155,-0.075
'0:11.522',-0.155,-0.080
'0:11.524',-0.150,-0.080
'0:11.526',-0.135,-0.080
'0:11.528',-0.135,-0.080
'0:11.530',-0.135,-0.080
'0:11.532',-0.135,-0.080
'0:11.534',-0.140,-0.075
'0:11.536',-0.155,-0.075
'0:11.538',-0.150,-0.070
'0:11.540',-0.140,-0.065
'0:11.542',-0.125,-0.060
'0:11.544',-0.120,-0.060
'0:11.546',-0.120,-0.055
'0:11.548',-0.125,-0.055
'0:11.550',-0.145,-0.055
'0:11.552',-0.135,-0.055
